"","coef","se","model","distance"
"within50km_so2nox",9.26028439702023e-07,3.88283967939568e-07,"State-year FE","<50km"
"dist_50_100km_so2nox",2.93983093370298e-07,2.65702088992167e-07,"State-year FE","50-100"
"dist_100_200km_so2nox",2.8548013672941e-07,3.13000752281746e-07,"State-year FE","100-200"
"dist_200_500km_so2nox",-3.30401478106363e-08,1.29984703768946e-07,"State-year FE","200-500"
"above_500km_so2nox",2.07017319352689e-08,7.29725851019857e-08,"State-year FE",">500km"
"within50km_so2nox1",8.31459334979384e-07,4.58057371647057e-07,"No met","<50km"
"dist_50_100km_so2nox1",3.05299536637368e-08,3.25400328420824e-07,"No met","50-100"
"dist_100_200km_so2nox1",2.87311296767174e-07,5.17088323890647e-07,"No met","100-200"
"dist_200_500km_so2nox1",-2.91779692564328e-08,1.82274996495442e-07,"No met","200-500"
"above_500km_so2nox1",1.13595983336046e-07,1.02564607577639e-07,"No met",">500km"
"within50km_so2nox2",6.20819078854961e-07,3.75784284521875e-07,"State trend","<50km"
"dist_50_100km_so2nox2",2.84870501771555e-07,2.63266689488369e-07,"State trend","50-100"
"dist_100_200km_so2nox2",4.42271565676354e-07,2.79111701419493e-07,"State trend","100-200"
"dist_200_500km_so2nox2",4.38282312332916e-08,8.16234923208805e-08,"State trend","200-500"
"above_500km_so2nox2",3.29831182200962e-08,3.47988409928181e-08,"State trend",">500km"
"within50km_so2nox3",5.15635588306216e-07,3.53775706419731e-07,"Unweighted","<50km"
"dist_50_100km_so2nox3",3.50194925892932e-07,2.68570734182501e-07,"Unweighted","50-100"
"dist_100_200km_so2nox3",2.80633107760283e-07,2.0114406498894e-07,"Unweighted","100-200"
"dist_200_500km_so2nox3",-4.81901985127862e-08,8.88196199496029e-08,"Unweighted","200-500"
"above_500km_so2nox3",4.1474040131883e-08,6.00192232852863e-08,"Unweighted",">500km"
"within50km_so2nox4",8.00296412963139e-07,3.69003236683548e-07,"Monitor trend","<50km"
"dist_50_100km_so2nox4",6.42411196685937e-08,2.61257940810304e-07,"Monitor trend","50-100"
"dist_100_200km_so2nox4",3.46423176836929e-07,2.64256909064713e-07,"Monitor trend","100-200"
"dist_200_500km_so2nox4",3.19177721357251e-08,8.65585713449024e-08,"Monitor trend","200-500"
"above_500km_so2nox4",5.83830747621413e-08,3.35406731673258e-08,"Monitor trend",">500km"
